param,val,model
cost,0.01,L2_Logistic_Regression
cost,0.05,L2_Logistic_Regression
cost,0.1,L2_Logistic_Regression
cost,0.15,L2_Logistic_Regression
cost,0.2,L2_Logistic_Regression
cost,0.25,L2_Logistic_Regression
cost,0.03,L2_Logistic_Regression
cost,0.04,L2_Logistic_Regression
cost,0.5,L2_Logistic_Regression
cost,1,L2_Logistic_Regression
