metadata.ltach
PCMP_H1	A
PCMP_H2	B
PCMP_H3	C
PCMP_H4	D
PCMP_H5	E
PCMP_H8	H
PCMP_H9	I
PCMP_H10	J
PCMP_H11	C
PCMP_H12	C
PCMP_H13	F
PCMP_H15	H
PCMP_H16	D
PCMP_H17	D
PCMP_H18	K
PCMP_H19	L
PCMP_H21	K
PCMP_H22	D
PCMP_H23	M
PCMP_H26	N
PCMP_H27	D
PCMP_H30	C
PCMP_H31	E
PCMP_H32	M
PCMP_H33	D
PCMP_H34	G
PCMP_H35	G
PCMP_H36	N
PCMP_H37	O
PCMP_H38	P
PCMP_H39	D
PCMP_H40	I
PCMP_H41	P
PCMP_H42	G
PCMP_H43	C
PCMP_H44	E
PCMP_H46	C
PCMP_H48	D
PCMP_H49	A
PCMP_H52	K
PCMP_H54	R
PCMP_H56	K
PCMP_H60	A
PCMP_H61	J
PCMP_H65	M
PCMP_H66	D
PCMP_H68	M
PCMP_H69	I
PCMP_H70	D
PCMP_H72	D
PCMP_H74	E
PCMP_H75	E
PCMP_H76	M
PCMP_H77	T
PCMP_H78	M
PCMP_H79	E
PCMP_H81	E
PCMP_H82	D
PCMP_H83	P
PCMP_H84	E
PCMP_H85	G
PCMP_H86	G
PCMP_H87	M
PCMP_H88	M
PCMP_H89	F
PCMP_H90	D
PCMP_H94	N
PCMP_H95	T
PCMP_H96	H
PCMP_H98	N
PCMP_H99	G
PCMP_H101	M
PCMP_H103	T
PCMP_H104	E
PCMP_H105	H
PCMP_H106	E
PCMP_H108	C
PCMP_H110	T
PCMP_H112	D
PCMP_H113	P
PCMP_H115	M
PCMP_H116	C
PCMP_H117	F
PCMP_H120	F
PCMP_H121	D
PCMP_H122	O
PCMP_H123	D
PCMP_H125	P
PCMP_H130	U
PCMP_H131	G
PCMP_H132	M
PCMP_H133	P
PCMP_H134	N
PCMP_H135	G
PCMP_H136	H
PCMP_H137	F
PCMP_H138	H
PCMP_H140	H
PCMP_H142	D
PCMP_H143	T
PCMP_H144	A
PCMP_H146	G
PCMP_H147	H
PCMP_H148	H
PCMP_H149	M
PCMP_H150	H
PCMP_H151	E
PCMP_H152	E
PCMP_H153	E
PCMP_H154	G
PCMP_H156	A
PCMP_H157	E
PCMP_H158	I
PCMP_H159	O
PCMP_H160	E
PCMP_H162	M
PCMP_H163	T
PCMP_H165	F
PCMP_H166	E
PCMP_H167	S
PCMP_H168	K
PCMP_H169	D
PCMP_H170	M
PCMP_H171	I
PCMP_H172	E
PCMP_H173	E
PCMP_H174	E
PCMP_H176	G
PCMP_H177	O
PCMP_H179	P
PCMP_H182	F
PCMP_H183	F
PCMP_H184	O
PCMP_H186	G
PCMP_H187	C
PCMP_H191	E
PCMP_H192	G
PCMP_H193	M
PCMP_H194	E
PCMP_H195	E
PCMP_H196	E
PCMP_H197	P
PCMP_H198	G
PCMP_H199	O
PCMP_H200	H
PCMP_H201	E
PCMP_H202	O
PCMP_H204	O
PCMP_H205	N
PCMP_H206	D
PCMP_H209	O
PCMP_H210	O
PCMP_H212	F
PCMP_H213	C
PCMP_H214	G
PCMP_H215	M
PCMP_H218	N
PCMP_H221	G
PCMP_H222	P
PCMP_H224	H
PCMP_H225	E
PCMP_H226	H
PCMP_H227	F
PCMP_H228	M
PCMP_H229	N
PCMP_H230	E
PCMP_H231	E
PCMP_H232	E
PCMP_H233	E
PCMP_H234	C
PCMP_H235	C
PCMP_H237	H
PCMP_H238	H
PCMP_H239	E
PCMP_H241	U
PCMP_H242	U
PCMP_H246	R
PCMP_H247	E
PCMP_H250	H
PCMP_H251	F
PCMP_H252	P
PCMP_H253	E
PCMP_H254	M
PCMP_H255	M
PCMP_H256	G
PCMP_H257	G
PCMP_H258	C
PCMP_H259	D
PCMP_H261	E
PCMP_H262	H
PCMP_H264	D
PCMP_H265	G
PCMP_H266	D
PCMP_H267	P
PCMP_H268	G
PCMP_H272	P
PCMP_H273	F
PCMP_H274	H
PCMP_H275	D
PCMP_H276	E
PCMP_H281	T
PCMP_H282	I
PCMP_H283	C
PCMP_H284	O
PCMP_H286	C
PCMP_H287	E
PCMP_H288	P
PCMP_H289	T
PCMP_H291	C
PCMP_H292	E
PCMP_H294	P
PCMP_H295	F
PCMP_H296	M
PCMP_H297	H
PCMP_H299	G
PCMP_H301	E
PCMP_H302	P
PCMP_H303	M
PCMP_H305	M
PCMP_H307	E
PCMP_H308	I
PCMP_H312	N
PCMP_H313	M
PCMP_H315	G
PCMP_H316	N
PCMP_H317	D
PCMP_H318	M
PCMP_H320	E
PCMP_H322	I
PCMP_H325	C
PCMP_H326	A
PCMP_H328	D
PCMP_H329	P
PCMP_H330	P
PCMP_H335	M
PCMP_H339	N
PCMP_H340	P
PCMP_H342	E
PCMP_H343	H
PCMP_H344	G
PCMP_H345	M
PCMP_H346	H
PCMP_H347	G
PCMP_H348	D
PCMP_H350	E
PCMP_H353	E
PCMP_H355	P
PCMP_H356	G
